OBJECTID,MFS_CODE,MFS_ANBIETER,ZELLTECH_2G,ZELLTECH_3G,ZELLTECH_4G,ZELLTECH_5G,ZELLTYP,ADBTBETRIEB,SENDELEISTUNG
"1",BRGL-IMW-10352,"2","1","0","0","0","99","0",
"2",LUSU,"4","0","1","0","0","99","0",
"3",LUAN,"4","0","1","1","0","99","0",
"4",EBSC,"4","0","1","1","1","99","1",
"5",LU273-1,"3","0","0","1","1","99","0",
"6",LULZ,"4","0","1","0","0","99","0",
"7",PEPN,"4","0","1","1","0","99","0",
"8",LU307-1,"3","1","1","1","0","99","0",
"9",WHHS,"4","0","1","1","0","99","0",
"10",WST-SCHA-07818,"2","1","0","0","0","99","0",
"11",EMII,"4","0","1","0","0","99","0",
"12",MAUS,"4","0","1","1","1","99","0",
"13",SEIS,"4","0","1","1","0","99","0",
"14",LU_0017D,"1","0","1","1","0","2","0",
"15",WEGS,"4","0","1","1","1","99","0",
"16",WIMI,"4","0","1","0","0","99","0",
"17",HOTE,"4","0","1","1","1","99","0",
"18",SBS1,"4","0","1","0","0","99","0",
"19","1211200206","3","0","1","0","0","1","0",
"20",HIMI,"4","0","1","0","0","99","0",
"21",EWAB,"4","0","1","1","1","99","0",
"22",AG271-1,"3","0","0","1","1","99","0",
"23",LU066-3,"3","0","1","1","0","99","0",
"24",KRHO,"4","0","1","0","0","99","0",
"25",LUKZ,"4","0","1","1","0","99","0",
"26",RPLH,"4","0","1","0","0","99","0",
"27",LU_0615A,"1","0","1","1","1","2","0",
"28",LUHK,"4","0","0","1","1","99","0",
"29",LU374-1,"3","0","1","1","1","99","0",
"30",LU625-2,"3","1","1","1","1","99","0",
"31",SEM-RBG-08211,"2","1","0","0","0","99","0",
"32",KRFK,"4","0","1","0","0","99","0",
"33",BWHO,"4","0","1","1","0","99","0",
"34",LU_7558A,"1","0","1","1","0","4","0",
"35",PEPA,"4","0","1","1","0","99","0",
"36",WCHD,"4","0","1","1","0","99","0",
"37",BAMK,"4","0","1","1","0","99","0",
"38",SURZ,"4","0","1","1","1","99","0",
"39",LUMW,"4","0","1","0","0","99","0",
"40",ESCH-SCHH-05630,"2","1","0","0","0","99","0",
"41",LU_0450A,"1","0","1","1","1","2","0",
"42",ENVS,"4","0","1","1","0","99","0",
"43",LU_0476A,"1","0","1","1","1","2","0",
"44",LU018-5,"3","0","1","1","1","99","0",
"45",WST-SCHA-07640,"2","1","0","0","0","99","0",
"46",KBES,"4","0","1","1","0","99","0",
"47",LU_3021B,"1","0","1","1","1","2","0",
"48",HLPB,"4","0","1","1","0","99","0",
"49",L03F,"4","0","0","1","0","99","0",
"50",ROGI,"4","0","1","1","1","99","0",
"51",EMRA,"4","0","1","1","1","99","0",
"52",EMKA,"4","0","1","1","1","99","0",
"53",LU_3018B,"1","0","1","1","1","2","0",
"54",LU505-2,"3","1","1","1","1","99","0",
"55",KRPM,"4","0","1","1","0","99","0",
"56",KLPH,"4","0","1","1","0","99","0",
"57",ETBM,"4","0","1","0","0","99","0",
"58",LU_0515A,"1","0","1","1","1","2","0",
"59",LU033-1,"3","1","1","1","1","99","1",
"60",ROLI,"4","0","1","1","0","99","0",
"61",MGGG,"4","0","0","1","1","99","0",
"62","352639052925038","3","0","1","0","0","1","0",
"63",SAGH,"4","0","1","1","1","99","0",
"64",SMMI,"4","0","1","1","0","99","0",
"65",AEIN,"4","0","1","1","1","99","0",
"66",MEGG,"4","0","1","1","1","99","0",
"67",LKPS,"4","0","1","1","0","99","0",
"68",PECO,"4","0","1","0","0","99","0",
"69",FISB,"4","0","1","1","1","99","0",
"70",OKLM,"4","0","1","1","0","99","0",
"71",HNAP,"4","0","1","1","1","99","0",
"72",WIGG,"4","0","1","1","1","99","1",
"73",HMGP,"4","0","1","1","0","99","0",
"74",LUZH,"4","0","1","1","0","99","0",
"75",WHHN,"4","0","1","1","0","99","0",
"76","352639054209886","3","0","1","0","0","1","0",
"77",LITT,"4","0","1","1","1","99","1",
"78",LKPK,"4","0","1","1","0","99","0",
"79",WESH,"4","0","1","1","1","99","1",
"80","1203500462","3","0","1","0","0","1","0",
"81",LU_2036B,"1","0","1","1","0","2","0",
"82",LU_0448B,"1","0","1","1","1","2","0",
"83",LUEF,"4","0","1","1","0","99","0",
"84",SUP7,"4","0","1","1","0","99","0",
"85",RPT1,"4","0","1","0","0","99","0",
